Волгоградский проспект; 1793631; 1834714; 55.724498; 37.686565; 
Планерная; 3568751; 3427799; 55.861186; 37.434448; 
Таганская; 1192505; 1243184; 55.747448; 37.689612; 
Сходненская; 4218973; 4140763; 55.850751; 37.441693; 
Щукинская; 3557139; 3557125; 55.741469; 37.615561; 
Китай-город; 0; 0; null; null; 
Жулебино; 2124912; 2046361; 55.747448; 37.689612; 
Кузьминки; 5104386; 5068662; 55.705272; 37.765024; 
Пролетарская; 2683725; 2720442; 55.747448; 37.689612; 
Полежаевская; 2620549; 2685440; 55.747448; 37.689612; 
Выхино; 5623477; 5397416; 55.741469; 37.615561; 
Октябрьское поле; 3399829; 3470650; null; null; 
Тушинская; 3998819; 3819480; 55.827636; 37.44249; 
Баррикадная; 2116529; 2176969; 55.747448; 37.689612; 
Рязанский проспект; 2829114; 2830688; 55.741469; 37.615561; 
Третьяковская; 2490436; 2622460; 55.747448; 37.689612; 
Новокосино; 5231147; 5040768; 55.747448; 37.689612; 
Марксистская; 1983869; 2076238; 55.747448; 37.689612; 
Площадь Ильича; 1548457; 1556152; 55.741469; 37.615561; 
Шоссе Энтузиастов; 1775972; 1908167; 55.741469; 37.615561; 
Новогиреево; 5897756; 5693997; 55.747448; 37.689612; 
Авиамоторная; 3556366; 3712755; 55.747448; 37.689612; 
Перово; 3437105; 3401428; 55.747448; 37.689612; 
Тимирязевская; 1779149; 1743400; 55.747448; 37.689612; 
Дмитровская; 2878253; 2955824; 55.747448; 37.689612; 
Нагатинская; 3294824; 3373102; 55.747448; 37.689612; 
Алтуфьево; 3893848; 3775407; 55.747448; 37.689612; 
Савёловская; 3685903; 3671426; 55.798868; 37.594633; 
Чертановская; 2774424; 2761570; 55.747448; 37.689612; 
Улица академика Янгеля; 2291352; 2231437; 55.741469; 37.615561; 
Тульская; 2859986; 2974763; 55.710451; 37.620269; 
Аннино; 2185615; 2012387; 55.584542; 37.598167; 
Севастопольская; 996563; 1019614; 55.651895; 37.598692; 
Бульвар Дмитрия Донского; 4676685; 4511228; 55.741469; 37.615561; 
Полянка; 1388920; 1465231; 55.747448; 37.689612; 
Пражская; 4027905; 4032142; 55.747448; 37.689612; 
Нахимовский проспект; 1883458; 1909644; 55.741469; 37.615561; 
Цветной бульвар; 1981279; 2089243; null; null; 
Серпуховская; 1828534; 1932618; 55.747448; 37.689612; 
Отрадное; 4133067; 4142435; 55.747448; 37.689612; 
Южная; 1918896; 1904615; 55.741469; 37.615561; 
Владыкино; 1419722; 1672385; 55.846551; 37.610346; 
Петровско-Разумовская; 0; 0; 55.832819; 37.572562; 
Боровицкая; 587192; 616385; 55.747448; 37.689612; 
Бибирево; 2454493; 2446982; 55.887792; 37.597095; 
Нагорная; 1329751; 1359571; 55.747448; 37.689612; 
Менделеевская; 2220420; 2370510; 55.747448; 37.689612; 
Чеховская; 1856448; 1978050; 55.747448; 37.689612; 
Волжская; 1444624; 1472605; 55.747448; 37.689612; 
Фонвизинская; 1238838; 1229926; 55.747448; 37.689612; 
Кожуховская; 1871102; 1958066; 55.747448; 37.689612; 
Марьино; 2703033; 2667846; 55.641831; 37.750407; 
Достоевская; 1087802; 1133406; 55.747448; 37.689612; 
Борисово; 979675; 965197; 55.747448; 37.689612; 
Чкаловская; 4062634; 3940894; 55.897622; 38.062692; 
Трубная; 1381345; 1463722; 55.747448; 37.689612; 
Шипиловская; 1164583; 1158179; 55.747448; 37.689612; 
Марьина роща; 2418208; 2478365; null; null; 
Окружная; 534759; 528171; 55.741469; 37.615561; 
Селигерская; 3777876; 3683052; 55.869764; 37.536098; 
Верхние Лихоборы; 1122331; 1099032; 55.855507; 37.561516; 
Братиславская; 3231080; 3209916; 55.658431; 37.749758; 
Дубровка; 1590283; 1680497; 55.741469; 37.615561; 
Петровско-Разумовская; 1844420; 1814647; 55.832819; 37.572562; 
Крестьянская застава; 669217; 701239; null; null; 
Зябликово; 844192; 839685; 55.610551; 37.743374; 
Сретенский бульвар; 719253; 765941; null; null; 
Люблино; 3878004; 3742691; 55.747448; 37.689612; 
Бутырская; 1184040; 1220935; 55.801998; 37.58858; 
Печатники; 1728086; 1735705; 55.747448; 37.689612; 
Римская; 1650407; 1662803; 55.745526; 37.681321; 
Бульвар адмирала Ушакова; 868292; 854198; 55.741469; 37.615561; 
Улица Горчакова; 813623; 792557; 55.741469; 37.615561; 
Битцевский парк; 265435; 204142; 55.600271; 37.55552; 
Лесопарковая; 524394; 491077; 55.58168; 37.578643; 
Улица Скобелевская; 1576056; 1511190; 55.548568; 37.552984; 
Улица Старокачаловская; 0; 0; 55.741469; 37.615561; 
Бунинская аллея; 1777962; 1732284; 55.741469; 37.615561; 
Улица Милашенкова; 19220; 17360; 55.741469; 37.615561; 
Выставочный центр; 89220; 77534; null; null; 
Улица Сергея Эйзенштейна; 21121; 17606; 55.741469; 37.615561; 
Улица Академика Королёва; 14745; 13484; null; null; 
Телецентр; 30721; 27708; 55.747448; 37.689612; 
Тимирязевская; 62493; 51622; 55.747448; 37.689612; 
Новопеределкино; 1394284; 1332082; 55.747448; 37.689612; 
Парк Победы; 380570; 395087; null; null; 
Ломоносовский проспект; 1124257; 1133217; 55.741469; 37.615561; 
Боровское шоссе; 456724; 428207; 55.647963; 37.373292; 
Рассказовка; 1822459; 1725546; 55.632663; 37.332805; 
Мичуринский проспект; 239642; 241263; null; null; 
Деловой центр; 1168660; 1189643; 55.748799; 37.533371; 
Минская; 590119; 606832; 55.747448; 37.689612; 
Солнцево; 1493638; 1431331; 55.644486; 37.410415; 
Раменки; 1496458; 1484391; 55.747448; 37.689612; 
Озёрная; 1418909; 1401908; 55.747448; 37.689612; 
Говорово; 1134681; 1088089; 55.65844; 37.417287; 
Лефортово; 588788; 588697; 55.763455; 37.74529; 
Нижегородская; 1011600; 1290700; 55.731064; 37.729771; 
Лухмановская; 1382779; 1300148; 55.70933; 37.895758; 
Авиамоторная; 587907; 587602; 55.747448; 37.689612; 
Косино; 375067; 350579; 55.721392; 37.84887; 
Некрасовка; 4547788; 4281998; 55.747448; 37.689612; 
Юго-Восточная; 987264; 947300; 55.705054; 37.818206; 
Окская; 585866; 569228; 55.717823; 37.77867; 
Стахановская; 559850; 502557; 55.747448; 37.689612; 
улица Дмитриевского; 788068; 766059; 55.741469; 37.615561; 
Зюзино; 1254997; 1242129; 55.747448; 37.689612; 
Народное Ополчение; 73839; 70776; null; null; 
Мнёвники; 195463; 207697; 55.747448; 37.689612; 
Давыдково; 755375; 753748; 55.747448; 37.689612; 
Аминьевская; 865753; 847504; 55.697461; 37.463858; 
Новаторская; 940611; 936135; null; null; 
Каховская; 1291548; 1319405; 55.747448; 37.689612; 
Воронцовская; 584956; 604116; 55.747448; 37.689612; 
Кунцевская; 924292; 919763; 55.731858; 37.446664; 
Терехово; 195463; 207697; 55.747448; 37.689612; 
Мичуринский проспект; 687813; 689982; null; null; 
Деловой центр; 1396662; 1420461; 55.748799; 37.533371; 
Хорошёвская; 744764; 761255; 55.747448; 37.689612; 
Проспект Вернадского; 400920; 404651; 55.747448; 37.689612; 
